ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,trained_improved_varieties,trained_pest_management,trained_agronomic_practices,trained_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Male,70,Secondary,5000,3,Yes,Mango,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,5,12,7,5,12,7,0,400,400,0,50,50,0,8000,8000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,4,5,4,4,4,4
Thange,Male,50,Secondary,10000,5,Yes,Mango,17,4,3,3,3,4,4,3,4,4,4,4,4,4,2,5,3,4,4,70,70,0,70,70,0,300,300,0,40,40,0,500000,500000,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,3,1
Thange,Female,71,Primary,500,6,Yes,Mango,19,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,3,4,5,90,90,0,90,90,0,100,100,0,40,40,0,70000,70000,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,3,3,2,3,4,5
Thange,Female,53,Primary,5000,6,Yes,Mango,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1,4,4,5,0,10,10,0,10,10,0,0,0,0,0,0,0,0,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,4,3,4,4
Tulimani,Male,64,Primary,5000,6,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,76,75,66,76,10,6000,3000,-3000,5,20,15,7500,15000,7500,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Male,66,Secondary,7000,6,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,100,100,0,100,100,0,300,500,200,10,30,20,30000,210000,180000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Thange,Female,45,Primary,500,6,No,Mango,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,1,4,4,4,3,10,7,1,1,0,40,150,110,12,12,0,1000,3000,2000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,5
Thange,Female,56,Secondary,500,5,No,Mango,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,20,16,4,420,416,200,450,250,20,60,40,10000,15000,5000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,77,Primary,0,4,No,Mango,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,15,8,7,15,8,0,50,50,0,0,0,0,0,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,4,4,4
Thange,Female,42,Primary,500,4,No,Mango,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,3,5,10,0,-10,10,0,-10,0,0,0,0,0,0,0,0,0,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,4,3,3,4
Thange,Male,53,Primary,5000,6,Yes,Mango,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,22,52,30,22,52,30,0,300,300,0,12,12,0,20000,20000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Tulimani,Male,66,Primary,1000,3,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10,250,240,10,250,240,50,500,450,3,20,17,300,500000,499700,1,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,67,Secondary,5000,3,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,100,95,5,100,95,100,500,400,5,20,15,500,200000,199500,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Male,55,Secondary,4000,3,Yes,Mango,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,2,30,28,2,30,28,20,250,230,120,15,-105,120,37500,37380,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,58,Primary,200,2,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10,40,30,10,40,30,300,500,200,6000,20,-5980,6000,80000,74000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,5,5,5
Tulimani,Female,54,Primary,5000,5,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,10,8,2,10,8,50,500,450,5,25,20,100,25000,24900,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,52,Secondary,6000,5,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,10,52,42,10,52,42,100,300,200,5,20,15,1000,104000,103000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,77,Primary,5000,4,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,30,0,30,30,0,100,20,-80,5,20,15,6000,40000,34000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,60,Degree,20000,3,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,120,170,50,120,170,50,200,500,300,5,20,15,22,55,33,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,68,Primary,2000,4,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,30,20,10,30,20,100,500,400,5,20,15,1000,10000,9000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Tulimani,Female,64,Primary,4000,5,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,30,10,20,30,10,300,500,200,5,20,15,6000,100000,94000,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,52,Primary,3000,6,Yes,Mango,6,4,4,4,4,4,4,5,4,5,4,4,4,4,4,2,5,2,5,4,18,14,10,45,35,100,500,400,15,30,15,1000,3500,2500,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,3,3
Mtito Andei,Female,35,Primary,3000,3,Yes,Mango,4,2,4,4,4,4,4,4,4,5,4,5,4,4,5,2,5,2,5,6,35,29,6,35,29,50,90,40,20,20,0,1000,2500,1500,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,52,Primary,3000,6,Yes,Mango,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,10,50,40,10,50,40,80,150,70,20,20,0,1000,2500,1500,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Male,62,Primary,4000,6,Yes,Mango,15,3,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,2,5,80,100,20,260,300,40,100,130,30,20,20,0,12500,19000,6500,2,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,55,Primary,5000,6,No,Mango,5,2,4,4,4,5,5,4,4,4,4,4,4,4,4,2,4,2,5,10,42,32,10,42,32,100,150,50,15,20,5,2000,4500,2500,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,4
Mtito Andei,Female,68,Primary,6000,4,Yes,Mango,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,2,4,6,35,29,6,35,29,70,100,30,15,20,5,3500,7000,3500,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Male,78,Primary,9000,6,Yes,Mango,20,2,5,5,5,5,5,4,4,5,4,4,4,4,5,2,4,2,4,16,53,37,16,53,37,60,100,40,10,20,10,1200,4000,2800,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,40,Secondary,8000,3,No,Mango,5,2,5,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,4,8,64,56,8,64,56,50,120,70,10,20,10,1500,3800,2300,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,58,Primary,8000,6,No,Mango,20,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,3,45,42,3,45,42,25,56,31,10,20,10,500,3200,2700,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,58,Primary,9000,6,Yes,Mango,20,2,4,4,5,5,5,4,4,5,4,4,4,4,4,2,4,2,4,2,42,40,2,42,40,40,90,50,10,20,10,400,1600,1200,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,4
Mtito Andei,Female,62,Primary,9500,6,Yes,Mango,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,38,36,2,38,36,50,90,40,10,20,10,300,1000,700,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Male,39,Secondary,10000,4,Yes,Mango,6,3,5,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,4,0,50,50,0,50,50,0,30,30,10,20,10,0,3000,3000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,70,Diploma,10000,6,Yes,Mango,7,2,5,5,5,5,5,4,5,5,4,4,4,4,4,2,4,2,4,2,32,30,2,32,30,50,100,50,10,20,10,500,2800,2300,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Female,57,Primary,10000,6,Yes,Mango,5,3,4,5,5,5,5,5,5,5,4,4,4,4,4,2,4,4,4,0,30,30,0,30,30,0,40,40,10,20,10,0,2500,2500,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,48,Secondary,15000,4,Yes,Mango,6,2,4,5,5,5,5,4,4,5,4,4,4,4,4,2,4,2,3,0,40,40,0,40,40,0,70,70,10,20,10,0,4600,4600,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,46,Secondary,15000,4,Yes,Mango,12,3,4,4,5,5,5,4,4,4,4,4,4,4,4,2,4,2,3,5,57,52,5,57,52,50,80,30,10,20,10,800,4500,3700,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Mtito Andei,Male,69,Secondary,19000,6,Yes,Mango,15,3,5,5,5,4,5,4,4,5,4,4,4,4,4,2,4,2,4,2,70,68,2,70,68,200,70,-130,10,20,10,600,3800,3200,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4
Waia/Kako,Male,49,Primary,20000,6,Yes,Mango,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,18,7,16,22,6,120,180,60,5,10,5,4500,6000,1500,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Male,54,Primary,15000,6,Yes,Mango,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,6,8,2,80,120,40,5,10,5,1500,3500,2000,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,37,Secondary,30000,4,Yes,Mango,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,20,18,2,50,48,15,100,85,12,30,18,1000,20000,19000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,60,Secondary,32000,4,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,2,4,4,4,3,20,17,3,50,47,20,100,80,15,30,15,1000,25000,24000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,45,Certificate,30000,6,Yes,Mango,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,2,4,4,2,10,45,35,15,90,75,70,200,130,20,30,10,10000,50000,40000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,50,Primary,28000,4,Yes,Mango,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,2,4,4,2,20,40,20,25,75,50,100,200,100,20,30,10,15000,30000,15000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,5,5,4
Waia/Kako,Female,42,Secondary,35000,3,Yes,Mango,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,5,10,5,5,20,15,20,70,50,10,20,10,1500,15000,13500,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,67,Secondary,40000,4,Yes,Mango,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,2,20,45,25,20,95,75,100,270,170,20,35,15,10000,25000,15000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,4
Waia/Kako,Female,55,Secondary,27000,4,Yes,Mango,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,5,38,33,5,38,33,50,200,150,20,30,10,2000,10000,8000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Waia/Kako,Male,40,Certificate,40000,4,Yes,Mango,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,2,4,4,2,10,40,30,10,40,30,90,150,60,20,30,10,3000,15000,12000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Male,37,Secondary,30000,4,Yes,Mango,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,2,4,4,2,40,45,5,50,100,50,100,250,150,20,30,10,20000,40000,20000,1,1,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,4,4
Waia/Kako,Male,52,Secondary,35000,3,Yes,Mango,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,2,4,4,2,5,20,15,5,20,15,50,150,100,20,30,10,2000,8000,6000,0,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,4,4
