ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,trees_per_acre_before,trees_per_acre_after,trees_per_acre_change,total_trees_before,total_trees_after,total_trees_change,production_per_tree_before,production_per_tree_after,production_per_tree_change,average_flock_size_before,average_flock_size_after,average_flock_size_change,annual_production_cycles_before,annual_production_cycles_after,annual_production_cycles_change,trained_poultry_housing,adopted_poultry_housing,trained_feeds_production,adopted_feeds_production,trained_feeds_management,adopted_feeds_management,trained_hatchery_management,adopted_hatchery_management,trained_vaccination,adopted_vaccination,trained_hygiene_management,adopted_hygiene_management,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Female,33.0,Secondary,1000,4.0,Yes,Tomato,1,5,5,4,5,4,5,4,5,4,4,4,5,4,4,2,4,4,4,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,40.0,40.0,0.0,40000.0,40000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,5,5,4
Thange,Female,60.0,Secondary,5000,2.0,Yes,Tomato,3,4,4,4,4,4,4,4,3,4,5,5,4,5,4,2,4,3,5,0.0,1.0,1.0,20.0,1000.0,980.0,40.0,40.0,0.0,500.0,30000.0,29500.0,1.0,5.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,4,4
Thange,Female,38.0,Secondary,1000,3.0,No,Tomato,1,4,4,5,4,5,5,5,4,5,4,5,4,5,4,2,4,4,5,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,40.0,40.0,0.0,30000.0,30000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,5,4,4
Thange,Female,28.0,Certificate,5000,2.0,No,Tomato,2,5,4,4,5,4,5,4,5,4,5,4,5,4,1,1,5,4,1,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,40.0,40.0,0.0,30000.0,30000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,5,5,4
Thange,Female,52.0,Primary,5000,1.0,Yes,Tomato,3,4,5,4,5,4,5,4,4,4,4,4,4,4,4,1,4,4,3,0.0,1.0,1.0,0.0,300.0,300.0,0.0,50.0,50.0,0.0,10000.0,10000.0,0.0,6.0,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4
Thange,Male,38.0,Primary,30000,4.0,Yes,Tomato,13,4,4,4,4,4,5,3,3,4,5,5,4,4,4,5,3,5,5,5.0,1.0,-4.0,6000.0,1000.0,-5000.0,50.0,100.0,50.0,250000.0,80000.0,-170000.0,2.0,3.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,5,5
Thange,Female,45.0,Secondary,5000,3.0,No,Tomato,1,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,40.0,40.0,0.0,10000.0,10000.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,5,4,4
Thange,Male,56.0,Secondary,3000,4.0,Yes,Tomato,4,4,4,4,4,4,5,4,3,4,4,5,4,5,4,4,4,4,5,1.0,2.0,1.0,1500.0,1500.0,0.0,40.0,100.0,60.0,250000.0,300000.0,50000.0,4.0,2.0,-2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,45.0,Secondary,300,4.0,Yes,Tomato,2,4,4,4,4,4,5,4,3,4,4,4,3,4,4,2,4,4,4,1.0,1.0,0.0,10.0,300.0,290.0,0.0,80.0,80.0,0.0,3000.0,3000.0,1.0,10.0,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Male,70.0,Primary,15000,4.0,Yes,Tomato,2,4,4,4,4,4,5,4,3,4,4,4,2,4,4,4,4,3,4,1.0,2.0,1.0,120.0,180.0,60.0,60.0,80.0,20.0,5000.0,9000.0,4000.0,2.0,3.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,5
Mtito Andei,Male,40.0,Secondary,4000,4.0,Yes,Tomato,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,2000.0,3000.0,1000.0,30.0,50.0,20.0,9000.0,15000.0,6000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,52.0,Primary,2000,5.0,No,Tomato,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,2500.0,4000.0,1500.0,45.0,50.0,5.0,75000.0,225000.0,150000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,42.0,Primary,2600,4.0,No,Tomato,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,3000.0,4000.0,1000.0,40.0,50.0,10.0,120000.0,200000.0,80000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,60.0,Certificate,4500,5.0,Yes,Tomato,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,2000.0,3500.0,1500.0,40.0,50.0,10.0,80000.0,175000.0,95000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,39.0,Secondary,4800,3.0,No,Tomato,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,1200.0,4000.0,2800.0,30.0,50.0,20.0,3600.0,20000.0,16400.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,62.0,Primary,2000,5.0,No,Tomato,9,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,2600.0,4500.0,1900.0,30.0,50.0,20.0,78000.0,225000.0,147000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,43.0,Secondary,4000,5.0,Yes,Tomato,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,2600.0,5000.0,2400.0,40.0,60.0,20.0,104000.0,300000.0,196000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Female,58.0,Secondary,5000,4.0,No,Tomato,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,1.0,0.0,2000.0,5000.0,3000.0,45.0,50.0,5.0,90000.0,250000.0,160000.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Mtito Andei,Male,45.0,Secondary,10000,5.0,Yes,Tomato,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,1.0,1.0,0.0,600.0,1500.0,900.0,20.0,25.0,5.0,10000.0,32000.0,22000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Female,48.0,Secondary,10000,5.0,No,Tomato,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,1.0,1.0,0.0,500.0,1600.0,1100.0,20.0,25.0,5.0,9000.0,34000.0,25000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,40.0,Primary,8000,5.0,Yes,Tomato,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,1.0,1.0,0.0,400.0,1600.0,1200.0,20.0,25.0,5.0,6500.0,36000.0,29500.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,34.0,Secondary,13000,4.0,Yes,Tomato,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,1.0,1.0,0.0,400.0,1400.0,1000.0,20.0,25.0,5.0,7500.0,32000.0,24500.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Mtito Andei,Male,35.0,Certificate,8000,3.0,Yes,Tomato,8,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,1.0,1.0,0.0,600.0,1300.0,700.0,20.0,25.0,5.0,11000.0,30000.0,19000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Male,57.0,Primary,1000,4.0,Yes,Mango,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,,,,,,20.0,50.0,30.0,3600.0,10000.0,6400.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,No,Yes,,Yes,No,1.0,27.0,26.0,1.0,27.0,26.0,900.0,1000.0,100.0,,,,,,,,,,,,,,,,,,,5,5,2,3,4,4
Thange,Female,49.0,Primary,500,4.0,Yes,Mango,27,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,,,,,,,10.0,50.0,40.0,450.0,3000.0,2550.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,6.0,51.0,45.0,6.0,25.0,19.0,90.0,60.0,-30.0,,,,,,,,,,,,,,,,,,,4,4,3,4,4,4
Thange,Female,67.0,Primary,500,3.0,Yes,Mango,43,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,5,,,,,,,30.0,50.0,20.0,5400.0,45000.0,39600.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,9.0,34.0,25.0,9.0,34.0,25.0,900.0,4500.0,3600.0,,,,,,,,,,,,,,,,,,,5,4,5,4,4,3
Thange,Female,43.0,Primary,1000,5.0,Yes,Mango,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1,4,4,4,,,,,,,0.0,50.0,50.0,0.0,2000.0,2000.0,0.0,1.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,0.0,3.0,3.0,0.0,3.0,3.0,0.0,200.0,200.0,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4
Thange,Female,51.0,Secondary,2000,1.0,No,Mango,8,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,15.0,50.0,35.0,5600.0,15000.0,9400.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,20.0,46.0,26.0,20.0,46.0,26.0,1800.0,9000.0,7200.0,,,,,,,,,,,,,,,,,,,5,5,4,4,4,4
Thange,Male,74.0,Secondary,0,3.0,Yes,Mango,10,4,4,4,4,4,5,4,4,4,4,5,4,4,5,5,4,4,5,,,,,,,20.0,0.0,-20.0,4000.0,0.0,-4000.0,3.0,2.0,-1.0,Yes,,No,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,50.0,60.0,10.0,50.0,60.0,10.0,50.0,70.0,20.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,3
Thange,Male,70.0,Secondary,1000,3.0,Yes,Mango,6,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,5,,,,,,,35.0,3500.0,3465.0,12000.0,0.0,-12000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,130.0,100.0,-30.0,130.0,100.0,-30.0,60.0,20.0,-40.0,,,,,,,,,,,,,,,,,,,4,3,5,4,4,5
Thange,Female,55.0,Secondary,1000,3.0,No,Mango,5,4,4,4,4,4,4,4,4,5,5,4,5,4,4,2,4,4,5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,0.0,7.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3,3,4,3,4,4
Thange,Male,68.0,Secondary,500,3.0,Yes,Mango,8,4,3,4,5,5,5,3,3,5,4,4,4,2,4,2,4,4,4,,,,,,,0.0,50.0,50.0,0.0,18000.0,18000.0,1.0,2.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,6.0,30.0,24.0,6.0,38.0,32.0,0.0,60.0,60.0,,,,,,,,,,,,,,,,,,,4,5,4,4,4,5
Thange,Male,70.0,Secondary,5000,3.0,Yes,Mango,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,5,,,,,,,0.0,50.0,50.0,0.0,8000.0,8000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,No,Yes,,Yes,No,5.0,12.0,7.0,5.0,12.0,7.0,0.0,400.0,400.0,,,,,,,,,,,,,,,,,,,4,5,4,4,4,4
Thange,Male,50.0,Secondary,10000,5.0,Yes,Mango,17,4,3,3,3,4,4,3,4,4,4,4,4,4,2,5,3,4,4,,,,,,,40.0,40.0,0.0,500000.0,500000.0,0.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,70.0,70.0,0.0,70.0,70.0,0.0,300.0,300.0,0.0,,,,,,,,,,,,,,,,,,,3,3,4,3,3,1
Thange,Female,56.0,Secondary,500,5.0,No,Mango,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,,,,,,,20.0,60.0,40.0,10000.0,15000.0,5000.0,1.0,2.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,4.0,20.0,16.0,4.0,420.0,416.0,200.0,450.0,250.0,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4
Thange,Female,77.0,Primary,0,4.0,No,Mango,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,7.0,15.0,8.0,7.0,15.0,8.0,0.0,50.0,50.0,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4
Thange,Female,42.0,Primary,500,4.0,No,Mango,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,3,5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,No,10.0,0.0,-10.0,10.0,0.0,-10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3,3,4,3,3,4
Tulimani,Male,66.0,Primary,1000,3.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,3.0,20.0,17.0,300.0,500000.0,499700.0,1.0,3.0,2.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,10.0,250.0,240.0,10.0,250.0,240.0,50.0,500.0,450.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,67.0,Secondary,5000,3.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,5.0,20.0,15.0,500.0,200000.0,199500.0,1.0,2.0,1.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,5.0,100.0,95.0,5.0,100.0,95.0,100.0,500.0,400.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Male,55.0,Secondary,4000,3.0,Yes,Mango,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,120.0,15.0,-105.0,120.0,37500.0,37380.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,2.0,30.0,28.0,2.0,30.0,28.0,20.0,250.0,230.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,58.0,Primary,200,2.0,Yes,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,6000.0,20.0,-5980.0,6000.0,80000.0,74000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,10.0,40.0,30.0,10.0,40.0,30.0,300.0,500.0,200.0,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5
Tulimani,Female,54.0,Primary,5000,5.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5.0,25.0,20.0,100.0,25000.0,24900.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,2.0,10.0,8.0,2.0,10.0,8.0,50.0,500.0,450.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
Tulimani,Female,52.0,Secondary,6000,5.0,No,Mango,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,,,,,,,5.0,20.0,15.0,1000.0,104000.0,103000.0,1.0,1.0,0.0,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,10.0,52.0,42.0,10.0,52.0,42.0,100.0,300.0,200.0,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5
