ward,gender,age,education,monthly_income,household_size,family_head,value_chain,vc_experience,project_skepticism,adequate_consultation,project_acceptance,satisfactory_training,project_success_optimism,project_benefits,sustainable_skills,sustainable_technology,project_understanding,vc_understanding,vc_agriculture_practices_awareness,vc_technology_awareness,vc_product_marketing_understanding,practice_mixed_farming,practice_large_scale_farming,use_extension_services,use_credit_farming,full_time_farming,acreage_before,acreage_after,acreage_change,yield_before,yield_after,yield_change,price_before,price_after,price_change,annual_income_before,annual_income_after,annual_income_change,jobs_created_before,jobs_created_after,jobs_created_change,trained_certified_seed,adopted_certified_seed,trained_improved_varieties,adopted_improved_varieties,trained_pest_management,adopted_pest_management,trained_agronomic_practices,adopted_agronomic_practices,trained_soil_fertility,adopted_soil_fertility,trained_soil_moisture,adopted_soil_moisture,trained_post_harvest,adopted_post_harvest,trained_value_addition,adopted_value_addition,enterprise_profitability_increase,farm_productivity_increase,timely_implementation,new_income_streams,job_creation_increase,project_inclusivity
Thange,Female,43.0,Secondary,5000,4.0,No,Green gram,10,4,4,4,4,4,5,3,4,4,4,4,4,4,4,2,4,3,2,1.0,10.0,9.0,50.0,900.0,850.0,60.0,120.0,60.0,2000.0,70000.0,68000.0,1.0,6.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,5
Thange,Male,56.0,Primary,5000,4.0,Yes,Green gram,2,4,4,4,4,5,5,4,4,5,4,5,4,4,5,2,4,4,2,1.0,2.0,1.0,250.0,350.0,100.0,70.0,100.0,30.0,50000.0,60000.0,10000.0,2.0,2.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,5
Thange,Female,42.0,Primary,6000,3.0,No,Green gram,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,1.0,1.0,0.0,135.0,50.0,-85.0,50.0,100.0,50.0,5000.0,4000.0,-1000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,2,4,2,4,5
Thange,Female,48.0,Primary,1000,5.0,No,Green gram,10,4,4,4,4,4,4,4,4,3,4,4,3,4,4,2,4,4,4,1.0,1.0,0.0,10.0,70.0,60.0,0.0,80.0,80.0,0.0,4000.0,4000.0,1.0,1.0,0.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,4,4,4,4,4,4
Thange,Female,66.0,Primary,500,5.0,No,Green gram,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,2.0,2.0,0.0,80.0,90.0,10.0,40.0,70.0,30.0,6000.0,9000.0,3000.0,3.0,2.0,-1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,4,4,4,4,4,4
Thange,Male,64.0,Primary,10000,3.0,Yes,Green gram,8,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,4,4,4,1.0,1.0,0.0,25.0,70.0,45.0,0.0,100.0,100.0,0.0,5000.0,5000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,55.0,Primary,1000,4.0,Yes,Green gram,9,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,1.0,2.0,1.0,10.0,40.0,30.0,0.0,80.0,80.0,0.0,5000.0,5000.0,2.0,3.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,4,5,4,4,4
Thange,Female,55.0,Primary,0,5.0,Yes,Green gram,5,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,1.0,2.0,1.0,90.0,100.0,10.0,70.0,80.0,10.0,4500.0,12000.0,7500.0,5.0,5.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Thange,Female,60.0,Primary,500,5.0,Yes,Green gram,10,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,0.0,1.0,1.0,0.0,120.0,120.0,0.0,50.0,50.0,0.0,0.0,0.0,5000.0,1.0,-4999.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,3,3,4,4,4,4
Thange,Female,59.0,Primary,500,1.0,Yes,Green gram,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,2.0,3.0,1.0,100.0,250.0,150.0,40.0,90.0,50.0,5000.0,6000.0,1000.0,2.0,4.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,4,4,4
Thange,Male,60.0,Secondary,1500,4.0,Yes,Green gram,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1.0,1.0,50.0,0.0,-50.0,0.0,65.0,65.0,0.0,2500.0,2500.0,0.0,5.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,4,4,4,4,4
Waia/Kako,Male,32.0,Degree,10000,3.0,Yes,Green gram,2,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,2.0,5.0,3.0,100.0,120.0,20.0,90.0,110.0,20.0,120.0,150.0,30.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,4,4,4,4
Mtito Andei,Female,45.0,Secondary,4000,5.0,No,Green gram,7,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,1.0,2.0,1.0,100.0,300.0,200.0,45.0,70.0,25.0,10000.0,30000.0,20000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,38.0,Secondary,3000,4.0,No,Green gram,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,100.0,300.0,200.0,50.0,80.0,30.0,5000.0,24000.0,19000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,26.0,Secondary,3500,3.0,No,Green gram,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,120.0,450.0,330.0,50.0,80.0,30.0,6000.0,36000.0,30000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,52.0,Secondary,4000,5.0,Yes,Green gram,8,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,3.0,2.0,130.0,500.0,370.0,45.0,80.0,35.0,58500.0,80000.0,21500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,34.0,Secondary,4000,4.0,No,Green gram,6,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,100.0,250.0,150.0,40.0,70.0,30.0,4000.0,17500.0,13500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,48.0,Secondary,3500,5.0,Yes,Green gram,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,3.0,1.0,300.0,500.0,200.0,50.0,70.0,20.0,15000.0,35000.0,20000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,24.0,Primary,3000,5.0,No,Green gram,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,120.0,400.0,280.0,50.0,70.0,20.0,6000.0,28000.0,22000.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,26.0,Secondary,4000,5.0,No,Green gram,7,5,5,5,4,5,5,4,5,3,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,200.0,450.0,250.0,50.0,80.0,30.0,10000.0,36000.0,26000.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,27.0,Secondary,4000,5.0,No,Green gram,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,300.0,600.0,300.0,45.0,70.0,25.0,13500.0,42000.0,28500.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,23.0,Secondary,4000,4.0,No,Green gram,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1.0,2.0,1.0,150.0,500.0,350.0,45.0,80.0,35.0,6750.0,32000.0,25250.0,0.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Male,32.0,Secondary,3000,5.0,No,Green gram,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.0,3.0,1.0,100.0,200.0,100.0,50.0,90.0,40.0,10000.0,30000.0,20000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,4,4,4,5
Mtito Andei,Male,32.0,Secondary,2500,5.0,No,Green gram,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.0,2.0,1.0,150.0,350.0,200.0,45.0,80.0,35.0,13500.0,42000.0,28500.0,1.0,1.0,0.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,5
Mtito Andei,Female,65.0,Secondary,15000,5.0,No,Green gram,10,2,4,4,4,4,5,4,4,5,4,4,4,4,4,2,4,2,4,3.0,6.0,3.0,120.0,180.0,60.0,60.0,120.0,60.0,25000.0,95000.0,70000.0,3.0,6.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,35.0,Secondary,10000,1.0,Yes,Green gram,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,1.0,3.0,2.0,120.0,160.0,40.0,50.0,100.0,50.0,5200.0,40000.0,34800.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,48.0,Secondary,12000,5.0,No,Green gram,10,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2.0,6.0,4.0,110.0,160.0,50.0,60.0,120.0,60.0,12800.0,79300.0,66500.0,1.0,3.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,39.0,Secondary,15000,3.0,No,Green gram,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,2.0,4.0,2.0,100.0,180.0,80.0,65.0,100.0,35.0,13000.0,53000.0,40000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,36.0,Secondary,15000,2.0,No,Green gram,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,2.0,4.0,2.0,100.0,140.0,40.0,65.0,100.0,35.0,10000.0,46000.0,36000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,33.0,Secondary,11000,2.0,No,Green gram,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,1.0,4.0,3.0,90.0,160.0,70.0,60.0,120.0,60.0,4000.0,52000.0,48000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Mtito Andei,Female,32.0,Secondary,13000,2.0,No,Green gram,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,1.0,3.0,2.0,120.0,160.0,40.0,60.0,100.0,40.0,5000.0,42000.0,37000.0,0.0,2.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,40.0,Secondary,30000,4.0,Yes,Green gram,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,0.0,100.0,100.0,0.0,20.0,20.0,0.0,120.0,120.0,0.0,12000.0,12000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Female,45.0,Certificate,25000,3.0,Yes,Green gram,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,0.0,2.0,2.0,0.0,50.0,50.0,0.0,100.0,100.0,0.0,10000.0,10000.0,10.0,1.0,-9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Male,43.0,Secondary,27000,4.0,Yes,Green gram,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,2,4,4,2,1.0,4.0,3.0,0.0,50.0,50.0,0.0,110.0,110.0,0.0,25000.0,25000.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,4,4,4,4
Waia/Kako,Male,50.0,Secondary,35000,5.0,Yes,Green gram,4,5,5,4,5,5,5,5,4,5,4,4,4,5,4,2,5,4,2,2.0,3.0,1.0,10.0,50.0,40.0,90.0,120.0,30.0,1800.0,16000.0,14200.0,1.0,2.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,5,4,4,5
Waia/Kako,Male,47.0,Secondary,25000,4.0,Yes,Green gram,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,2,5,4,2,1.0,2.0,1.0,10.0,50.0,40.0,90.0,120.0,30.0,900.0,12000.0,11100.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,4,5,4,5
Waia/Kako,Female,60.0,Primary,45000,3.0,Yes,Green gram,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,2,5,4,2,1.0,2.0,1.0,20.0,100.0,80.0,90.0,100.0,10.0,1800.0,10000.0,8200.0,0.0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,4,4,4
